 position , pHeight
        1 ,  57.9100
        2 ,   0.7800
        3 ,  54.3100
        4 , 115.4400
        5 ,  53.5900
        6 ,  53.4900
        7 , 104.3700
        8 ,  51.9800
        9 , 113.4100
       10 ,  71.9700
       11 ,   7.5400
       12 ,  30.9200
       13 ,  24.1500
       14 ,  29.8300
       15 ,   6.5900
       16 , 127.6800
       17 ,   7.1800
       18 ,  75.9400
       19 ,   6.5800
       20 ,  75.6200
       21 ,  31.9000
       22 ,  94.3800
       23 ,  33.2000
       24 ,  27.3200
       25 ,  23.0800
       26 ,  68.1200
       27 ,  50.2700
       28 ,  21.5800
       29 ,   5.6600
       30 ,  48.5500
       31 ,  50.3400
       32 ,   8.2500
       33 ,   4.5600
       34 ,  47.5600
       35 ,  73.2700
       36 ,  14.3500
       37 ,   6.4700
       38 ,  45.6700
       39 ,  63.6200
       40 ,  86.6900
       41 ,  25.3000
       42 ,  26.9800
       43 ,  42.8100
       44 ,  59.4300
       45 ,  22.0100
       46 ,  29.9900
       47 ,  23.2400
       48 ,  10.8300
       49 ,  36.4900
       50 ,  25.7900
       51 ,  13.2900
       52 ,  28.1600
       53 ,  26.5900
       54 ,  28.0200
       55 ,  30.6900
       56 ,  37.7700
       57 ,   9.3900
       58 ,  20.7000
       59 ,  41.1400
       60 ,  21.4300
       61 ,  21.8500
       62 ,  12.4100
       63 ,  41.5100
       64 ,  15.6600
       65 ,  17.6000
       66 ,  22.6800
       67 ,  45.0000
       68 ,  40.2800
       69 ,   9.6500
       70 ,  17.8000
       71 ,  66.1600
       72 ,  39.5900
       73 ,  20.3200
       74 ,  12.3000
       75 ,  58.4900
       76 ,  17.5800
       77 ,  18.3000
       78 ,  24.0400
       79 ,  49.3000
       80 ,   8.7400
       81 ,  22.0300
       82 ,  29.4100
       83 ,  35.0900
       84 ,   8.3600
       85 ,  25.9600
       86 ,  21.0900
       87 ,  34.8900
       88 ,   8.2800
       89 ,  14.9500
       90 ,  25.1800
       91 ,  45.6200
       92 ,   8.3900
       93 ,  11.0400
       94 ,  32.6900
       95 ,  29.2100
       96 ,  10.9200
       97 ,  20.9100
       98 ,  36.0900
       99 ,  17.1800
      100 ,  20.2100
      101 ,  23.0300
      102 ,  26.0700
      103 ,  20.2400
      104 ,   0.4300
